ts,symbol,dir,entry,tp1,sl,grade,result
1756726089142,PI/USDT:USDT,short,0.3463,0.3453,0.3475,A,TP1
1756727055356,FARTCOIN/USDT:USDT,short,0.7447,0.7408,0.7493,A,TP1
1756727390551,PUMP/USDT:USDT,long,0.003406,0.00343,0.003377,A,SL
1756727876985,PI/USDT:USDT,short,0.3444,0.3434,0.3455,A,TP1
1756727943718,FARTCOIN/USDT:USDT,short,0.7412,0.7377,0.7454,A,TP1
1756727943718,ENA/USDT:USDT,short,0.6348,0.6325,0.6375,A,TP1
1756728308629,FARTCOIN/USDT:USDT,short,0.7394,0.7359,0.7436,A,TP1
1756728308629,BTC/USDT:USDT,long,108789.3,108948.0,108599.0,A+,SL
1756728370580,TRUMP/USDT:USDT,long,8.979,9.035,8.912,A+,TP1
1756728370580,TRUMP/USDT:USDT,long,8.981,9.035,8.916,A,TP1
1756728428003,FARTCOIN/USDT:USDT,short,0.7371,0.7338,0.7411,A,SL
1756728487696,SOL/USDT:USDT,short,199.12,198.55,199.81,A,SL
1756728487696,ENA/USDT:USDT,short,0.633,0.6306,0.6359,A,SL
1756728487696,BTC/USDT:USDT,long,108667.3,108827.0,108476.0,A,TP1
1756728487696,BTC/USDT:USDT,long,108626.0,108782.0,108439.0,A,TP1
1756728487696,ENA/USDT:USDT,short,0.6322,0.63,0.6348,A,SL
1756728608733,TA/USDT:USDT,short,0.11437,0.11282,0.11623,A+,SL
1756728608733,TA/USDT:USDT,short,0.1143,0.11281,0.11609,A,SL
1756729147880,TRUMP/USDT:USDT,long,9.051,9.103,8.988,A+,SL
1756729207765,ENA/USDT:USDT,short,0.6374,0.635,0.6403,A+,TP1
1756729507949,SOL/USDT:USDT,short,199.4,198.89,200.01,A,SL
1756729507949,BTC/USDT:USDT,long,108767.6,108921.0,108584.0,A,TP1
1756730047979,BTC/USDT:USDT,long,108808.1,108971.0,108612.0,A,TP1
1756730047979,PUMP/USDT:USDT,long,0.00347,0.003493,0.003442,A,TP1
1756730347386,SOL/USDT:USDT,short,199.82,199.29,200.46,A,SL
1756730347386,BTC/USDT:USDT,long,108966.0,109112.0,108791.0,A,TP1
1756730468786,PI/USDT:USDT,short,0.3448,0.3437,0.3461,A,TP1
1756730468786,TA/USDT:USDT,short,0.11662,0.1151,0.11844,A+,SL
1756730708241,FARTCOIN/USDT:USDT,short,0.7445,0.7408,0.7489,A+,TP1
1756730708241,FARTCOIN/USDT:USDT,short,0.7448,0.7412,0.7491,A,TP1
1756730768190,SOL/USDT:USDT,short,199.97,199.45,200.59,A,TP1
1756730768190,TRUMP/USDT:USDT,long,8.965,9.021,8.898,A+,SL
1756731069255,TRUMP/USDT:USDT,long,8.941,8.998,8.872,A,SL
1756731069255,TRUMP/USDT:USDT,long,8.893,8.947,8.828,A,SL
1756731248778,SOL/USDT:USDT,short,199.75,199.22,200.38,A,TP1
1756731248778,FARTCOIN/USDT:USDT,short,0.7437,0.7399,0.7482,A+,TP1
1756731908842,TRUMP/USDT:USDT,long,8.81,8.869,8.74,A+,SL
1756732092808,BTC/USDT:USDT,long,109032.5,109186.0,108848.0,A,TP1
1756732392930,ENA/USDT:USDT,short,0.6356,0.6333,0.6384,A+,TP1
1756732632198,LINK/USDT:USDT,short,23.169,23.091,23.263,A,TP1
1756732632198,LINK/USDT:USDT,short,23.159,23.081,23.253,A,TP1
1756732632198,ENA/USDT:USDT,short,0.6349,0.6325,0.6378,A,TP1
1756732632198,TRUMP/USDT:USDT,long,8.625,8.683,8.555,A+,SL
1756732632198,FARTCOIN/USDT:USDT,short,0.7392,0.7351,0.7442,A+,TP1
