ts,symbol,dir,entry,tp1,sl,grade
1756725900491,PI/USDT:USDT,short,0.3463,0.3453,0.3475,A
1756725998077,FARTCOIN/USDT:USDT,short,0.7447,0.7408,0.7493,A
1756726531372,SOL/USDT:USDT,short,199.12,198.55,199.81,A
1756726873456,PUMP/USDT:USDT,long,0.003406,0.00343,0.003377,A
1756727054970,FARTCOIN/USDT:USDT,short,0.7394,0.7359,0.7436,A
1756727208630,TRUMP/USDT:USDT,long,8.979,9.035,8.912,A+
1756727208635,ENA/USDT:USDT,short,0.633,0.6306,0.6359,A
1756727329086,BTC/USDT:USDT,long,108667.3,108827.0,108476.0,A
1756727555797,TA/USDT:USDT,short,0.11437,0.11282,0.11623,A+
1756727577378,FARTCOIN/USDT:USDT,short,0.7412,0.7377,0.7454,A
1756727597786,PI/USDT:USDT,short,0.3444,0.3434,0.3455,A
1756727703154,TRUMP/USDT:USDT,long,8.981,9.035,8.916,A
1756727793677,ENA/USDT:USDT,short,0.6348,0.6325,0.6375,A
1756727815590,BTC/USDT:USDT,long,108789.3,108948.0,108599.0,A+
1756728230821,FARTCOIN/USDT:USDT,short,0.7371,0.7338,0.7411,A
1756728250383,TA/USDT:USDT,short,0.1143,0.11281,0.11609,A
1756728308339,BTC/USDT:USDT,long,108626.0,108782.0,108439.0,A
1756728308340,ENA/USDT:USDT,short,0.6322,0.63,0.6348,A
1756728370292,SOL/USDT:USDT,short,199.4,198.89,200.01,A
1756728811582,BTC/USDT:USDT,long,108808.1,108971.0,108612.0,A
1756728856079,ENA/USDT:USDT,short,0.6374,0.635,0.6403,A+
1756728907996,TRUMP/USDT:USDT,long,9.051,9.103,8.988,A+
1756729110750,SOL/USDT:USDT,short,199.82,199.29,200.46,A
1756729306130,PI/USDT:USDT,short,0.3448,0.3437,0.3461,A
1756729350881,BTC/USDT:USDT,long,108767.6,108921.0,108584.0,A
1756729515715,TRUMP/USDT:USDT,long,8.941,8.998,8.872,A
1756729590906,SOL/USDT:USDT,short,199.97,199.45,200.59,A
1756729697946,PUMP/USDT:USDT,long,0.00347,0.003493,0.003442,A
1756729748193,TA/USDT:USDT,short,0.11662,0.1151,0.11844,A+
1756729815880,FARTCOIN/USDT:USDT,short,0.7445,0.7408,0.7489,A+
1756730176022,BTC/USDT:USDT,long,108966.0,109112.0,108791.0,A
1756730228270,TRUMP/USDT:USDT,long,8.965,9.021,8.898,A+
1756730527998,FARTCOIN/USDT:USDT,short,0.7448,0.7412,0.7491,A
1756730806324,TRUMP/USDT:USDT,long,8.893,8.947,8.828,A
1756730866124,SOL/USDT:USDT,short,199.75,199.22,200.38,A
1756731076045,FARTCOIN/USDT:USDT,short,0.7437,0.7399,0.7482,A+
